prefix,dost_id_number,first_name,middle_name,last_name,suffix,email,position,length_of_service
Ms.,DOST-2026-EMP-053,Veronica,Gabion,Sua,,veronica.sua@dost.gov.ph,Administrative Officer,8
Mr.,DOST-2026-EMP-054,Walter,Habana,Tua,,walter.tua@dost.gov.ph,Science Research Specialist,2
Ms.,DOST-2026-EMP-055,Ximena,Ibanes,Vua,,ximena.vua@dost.gov.ph,Engineer II,4
Ms.,DOST-2026-EMP-056,Yolanda,Jabines,Wua,,yolanda.wua@dost.gov.ph,Accountant III,1
Mr.,DOST-2026-EMP-057,Zaldy,Kabatulan,Xua,,zaldy.xua@dost.gov.ph,Information Technology Officer I,3
Ms.,DOST-2026-EMP-058,Amelia,Labao,Yua,,amelia.yua@dost.gov.ph,Science Research Analyst,7
Mr.,DOST-2026-EMP-059,Bonifacio,Mabasa,Zua,,bonifacio.zua@dost.gov.ph,Project Development Officer,2
Ms.,DOST-2026-EMP-060,Concepcion,Nabua,Aba,,concepcion.aba@dost.gov.ph,Administrative Officer,5
Mr.,DOST-2026-EMP-061,Dionisio,Obando,Bba,,dionisio.bba@dost.gov.ph,Science Research Specialist,4
Ms.,DOST-2026-EMP-062,Esperanza,Pableo,Cba,,esperanza.cba@dost.gov.ph,Engineer II,6
Mr.,DOST-2026-EMP-063,Fortunato,Quema,Dba,,fortunato.dba@dost.gov.ph,Administrative Aide VI,1
Ms.,DOST-2026-EMP-064,Generosa,Rabago,Eba,,generosa.eba@dost.gov.ph,Accountant III,3
Mr.,DOST-2026-EMP-065,Herminio,Sabado,Fba,,herminio.fba@dost.gov.ph,Information Technology Officer I,2
Ms.,DOST-2026-EMP-066,Isidra,Tabayoyong,Gba,,isidra.gba@dost.gov.ph,Science Research Analyst,8
Mr.,DOST-2026-EMP-067,Jacinto,Ubaldo,Hba,,jacinto.hba@dost.gov.ph,Project Development Officer,4
Ms.,DOST-2026-EMP-068,Katrina,Vidal,Iba,,katrina.iba@dost.gov.ph,Administrative Officer,5
Mr.,DOST-2026-EMP-069,Leonardo,Wagan,Jba,,leonardo.jba@dost.gov.ph,Science Research Specialist,3
Ms.,DOST-2026-EMP-070,Magdalena,Yabut,Kba,,magdalena.kba@dost.gov.ph,Engineer II,7
